from_frame,to_frame,fen
44,44,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR
528,528,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR
548,548,rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR
584,584,rnbqkb1r/pppppppp/5n2/6B1/3P4/8/PPP1PPPP/RN1QKBNR
664,664,rnbqkb1r/pp1ppppp/5n2/2p3B1/3P4/8/PPP1PPPP/RN1QKBNR
724,724,rnbqkb1r/pp1ppppp/5B2/2p5/3P4/8/PPP1PPPP/RN1QKBNR
752,752,rnbqkb1r/pp1p1ppp/5p2/2p5/3P4/8/PPP1PPPP/RN1QKBNR
1240,1240,rnbqkb1r/pp1p1ppp/5p2/2pP4/8/8/PPP1PPPP/RN1QKBNR
1332,1332,rnbqkb1r/pp1p1p1p/5pp1/2pP4/8/8/PPP1PPPP/RN1QKBNR
1372,1372,rnbqkb1r/pp1p1p1p/5pp1/2pP4/2P5/8/PP2PPPP/RN1QKBNR
1412,1412,rnbqk2r/pp1p1pbp/5pp1/2pP4/2P5/8/PP2PPPP/RN1QKBNR
1444,1444,rnbqk2r/pp1p1pbp/5pp1/2pP4/2P5/2N5/PP2PPPP/R2QKBNR
1656,1656,rnbq1rk1/pp1p1pbp/5pp1/2pP4/2P5/2N5/PP2PPPP/R2QKBNR
1840,1840,rnbq1rk1/pp1p1pbp/5pp1/2pP4/2P5/2N1P3/PP3PPP/R2QKBNR
1908,1908,rnbq1rk1/pp1p1pbp/6p1/2pP1p2/2P5/2N1P3/PP3PPP/R2QKBNR
2360,2360,rnbq1rk1/pp1p1pbp/6p1/2pP1p2/2P5/2N1P1P1/PP3P1P/R2QKBNR
2472,2472,rnbq1rk1/pp3pbp/3p2p1/2pP1p2/2P5/2N1P1P1/PP3P1P/R2QKBNR
2516,2516,rnbq1rk1/pp3pbp/3p2p1/2pP1p2/2P5/2N1P1P1/PP3PBP/R2QK1NR
2552,2552,rnbq1rk1/p4pbp/3p2p1/1ppP1p2/2P5/2N1P1P1/PP3PBP/R2QK1NR
2852,2852,rnbq1rk1/p4pbp/3p2p1/1PpP1p2/8/2N1P1P1/PP3PBP/R2QK1NR
2880,2880,rnbq1rk1/5pbp/p2p2p1/1PpP1p2/8/2N1P1P1/PP3PBP/R2QK1NR
2924,2924,rnbq1rk1/5pbp/P2p2p1/2pP1p2/8/2N1P1P1/PP3PBP/R2QK1NR
3100,3100,rn1q1rk1/5pbp/b2p2p1/2pP1p2/8/2N1P1P1/PP3PBP/R2QK1NR
3140,3140,rn1q1rk1/5pbp/b2p2p1/2pP1p2/8/2N1P1P1/PP2NPBP/R2QK2R
3264,3264,r2q1rk1/3n1pbp/b2p2p1/2pP1p2/8/2N1P1P1/PP2NPBP/R2QK2R
3720,3720,r2q1rk1/3n1pbp/b2p2p1/2pP1p2/8/2N1P1P1/PP2NPBP/R2Q1RK1
3788,3788,r2q1rk1/5pbp/b2p2p1/2pPnp2/8/2N1P1P1/PP2NPBP/R2Q1RK1
4168,4168,r2q1rk1/5pbp/b2p2p1/2pPnp2/8/2N1P1P1/PPQ1NPBP/R4RK1
4264,4264,r4rk1/5pbp/b2p2p1/q1pPnp2/8/2N1P1P1/PPQ1NPBP/R4RK1
4604,4604,r4rk1/5pbp/b2p2p1/q1pPnp2/8/2N1P1P1/PPQ1NPBP/R2R2K1
4752,4752,r4rk1/5pbp/b2p2p1/q1pP1p2/2n5/2N1P1P1/PPQ1NPBP/R2R2K1
5160,5160,r4rk1/5pbp/b2p2p1/q1pP1p2/2n5/2N1P1P1/PPQ1NPBP/2RR2K1
5560,5560,r4rk1/5pbp/b2p2p1/q1pP1p2/8/2N1P1P1/PnQ1NPBP/2RR2K1
5792,5792,r4rk1/5pbp/b2p2p1/q1pP1p2/8/2N1P1P1/PQ2NPBP/2RR2K1
5828,5828,r4rk1/5pbp/3p2p1/q1pP1p2/8/2N1P1P1/PQ2bPBP/2RR2K1
6280,6280,r4rk1/5pbp/3p2p1/q1pP1p2/8/2N1P1P1/P3QPBP/2RR2K1
6320,6320,r4rk1/5p1p/3p2p1/q1pP1p2/8/2b1P1P1/P3QPBP/2RR2K1
6640,6640,r4rk1/5p1p/3p2p1/q1pP1p2/7P/2b1P1P1/P3QPB1/2RR2K1
6956,6956,r4rk1/5p1p/3p2p1/q1pPbp2/7P/4P1P1/P3QPB1/2RR2K1
7196,7196,r4rk1/5p1p/3p2p1/q1pPbp2/7P/4P1P1/P1R1QPB1/3R2K1
7236,7236,rr4k1/5p1p/3p2p1/q1pPbp2/7P/4P1P1/P1R1QPB1/3R2K1
7436,7436,rr4k1/5p1p/3p2p1/q1pPbp1P/8/4P1P1/P1R1QPB1/3R2K1
7544,7544,rr4k1/5p1p/q2p2p1/2pPbp1P/8/4P1P1/P1R1QPB1/3R2K1
8600,8600,rr4k1/5p1p/Q2p2p1/2pPbp1P/8/4P1P1/P1R2PB1/3R2K1
8620,8620,1r4k1/5p1p/r2p2p1/2pPbp1P/8/4P1P1/P1R2PB1/3R2K1
8652,8652,1r4k1/5p1p/r2p2P1/2pPbp2/8/4P1P1/P1R2PB1/3R2K1
9020,9020,1r4k1/7p/r2p2p1/2pPbp2/8/4P1P1/P1R2PB1/3R2K1
9308,9308,1r4k1/7p/r2p2p1/2pPbp2/8/4P1P1/P1R2P2/3R1BK1
9332,9332,1r4k1/7p/3p2p1/2pPbp2/8/r3P1P1/P1R2P2/3R1BK1
9500,9500,1r4k1/7p/3p2p1/2pPbp2/8/r2RP1P1/P1R2P2/5BK1
11108,11108,1r4k1/7p/3p2p1/2pPbp2/8/3rP1P1/P1R2P2/5BK1
11152,11152,1r4k1/7p/3p2p1/2pPbp2/8/3BP1P1/P1R2P2/6K1
11364,11364,1r6/5k1p/3p2p1/2pPbp2/8/3BP1P1/P1R2P2/6K1
11488,11488,1r6/5k1p/3p2p1/2pPbp2/8/3BP1P1/P1R2PK1/8
11884,11884,8/5k1p/3p2p1/2pPbp2/8/3BP1P1/P1R2PK1/1r6
13728,13728,8/5k1p/3p2p1/2pPbp2/P7/3BP1P1/2R2PK1/1r6
14008,14008,8/5k1p/3p2p1/2pPbp2/P7/3BP1P1/2R2PK1/r7
