from_frame,to_frame,fen
28,28,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR
576,576,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR
588,588,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR
604,604,rnbqkbnr/pp1ppppp/8/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR
616,616,rnbqkb1r/pp1ppppp/5n2/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR
628,628,rnbqkb1r/pp1ppppp/5n2/2p1P3/8/2P5/PP1P1PPP/RNBQKBNR
640,640,rnbqkb1r/pp1ppppp/8/2pnP3/8/2P5/PP1P1PPP/RNBQKBNR
656,656,rnbqkb1r/pp1ppppp/8/2pnP3/3P4/2P5/PP3PPP/RNBQKBNR
748,748,rnbqkb1r/pp1ppppp/8/3nP3/3p4/2P5/PP3PPP/RNBQKBNR
760,760,rnbqkb1r/pp1ppppp/8/3nP3/3P4/8/PP3PPP/RNBQKBNR
820,820,rnbqkb1r/pp2pppp/3p4/3nP3/3P4/8/PP3PPP/RNBQKBNR
848,848,rnbqkb1r/pp2pppp/3p4/3nP3/3P4/5N2/PP3PPP/RNBQKB1R
876,876,r1bqkb1r/pp2pppp/2np4/3nP3/3P4/5N2/PP3PPP/RNBQKB1R
892,892,r1bqkb1r/pp2pppp/2np4/3nP3/2BP4/5N2/PP3PPP/RNBQK2R
924,924,r1bqkb1r/pp2pppp/2n5/3np3/2BP4/5N2/PP3PPP/RNBQK2R
964,964,r1bqkb1r/pp2pppp/2n5/3nP3/2B5/5N2/PP3PPP/RNBQK2R
1320,1320,r2qkb1r/pp2pppp/2n1b3/3nP3/2B5/5N2/PP3PPP/RNBQK2R
1396,1396,r2qkb1r/pp2pppp/2n1b3/3nP3/2B5/5N2/PP3PPP/RNBQ1RK1
1544,1544,r2qkb1r/pp2pp1p/2n1b1p1/3nP3/2B5/5N2/PP3PPP/RNBQ1RK1
1664,1664,r2qkb1r/pp2pp1p/2n1b1p1/3nP3/2B5/1Q3N2/PP3PPP/RNB2RK1
2156,2156,r2qk2r/pp2ppbp/2n1b1p1/3nP3/2B5/1Q3N2/PP3PPP/RNB2RK1
3232,3232,r2qk2r/pp2ppbp/2n1b1p1/3nP3/2B5/1Q3N2/PP3PPP/RNB1R1K1
3748,3748,r2q1rk1/pp2ppbp/2n1b1p1/3nP3/2B5/1Q3N2/PP3PPP/RNB1R1K1
