from_frame,to_frame,fen
36,36,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR
492,492,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR
532,532,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR
600,600,rnbqkbnr/ppp1pppp/8/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR
616,616,rnbqkbnr/ppp2ppp/4p3/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR
636,636,rnbqkbnr/ppp2ppp/4p3/3p4/3P1B2/4P3/PPP2PPP/RN1QKBNR
692,692,rnbqkb1r/ppp2ppp/4pn2/3p4/3P1B2/4P3/PPP2PPP/RN1QKBNR
788,788,rnbqkb1r/ppp2ppp/4pn2/3p4/3P1B2/4P3/PPPN1PPP/R2QKBNR
808,808,rnbqk2r/ppp2ppp/3bpn2/3p4/3P1B2/4P3/PPPN1PPP/R2QKBNR
824,824,rnbqk2r/ppp2ppp/3bpn2/3p4/3P4/4P1B1/PPPN1PPP/R2QKBNR
960,960,rnbqk2r/p1p2ppp/1p1bpn2/3p4/3P4/4P1B1/PPPN1PPP/R2QKBNR
1024,1024,rnbqk2r/p1p2ppp/1p1bpn2/3p4/3P4/2P1P1B1/PP1N1PPP/R2QKBNR
1036,1036,rn1qk2r/pbp2ppp/1p1bpn2/3p4/3P4/2P1P1B1/PP1N1PPP/R2QKBNR
1060,1060,rn1qk2r/pbp2ppp/1p1bpn2/3p4/3P4/2P1PNB1/PP1N1PPP/R2QKB1R
1100,1100,rn1q1rk1/pbp2ppp/1p1bpn2/3p4/3P4/2P1PNB1/PP1N1PPP/R2QKB1R
1216,1216,rn1q1rk1/pbp2ppp/1p1bpn2/3p4/3P4/2PBPNB1/PP1N1PPP/R2QK2R
1252,1252,rn1q1rk1/pbp2ppp/1p1bp3/3p4/3Pn3/2PBPNB1/PP1N1PPP/R2QK2R
1680,1680,rn1q1rk1/pbp2ppp/1p1bp3/3p4/3Pn2B/2PBPN2/PP1N1PPP/R2QK2R
2000,2000,rn1q1rk1/pbp3pp/1p1bpp2/3p4/3Pn2B/2PBPN2/PP1N1PPP/R2QK2R
2260,2260,rn1q1rk1/pbp3pp/1p1bpp2/3p4/3Pn2B/2PBPN2/PPQN1PPP/R3K2R
3248,3248,rn1q1rk1/pbp3pp/1p1bpp2/3p4/3P3B/2PBPN2/PPQn1PPP/R3K2R
3604,3604,rn1q1rk1/pbp3pB/1p1bpp2/3p4/3P3B/2P1PN2/PPQn1PPP/R3K2R
3724,3724,rn1q1r1k/pbp3pB/1p1bpp2/3p4/3P3B/2P1PN2/PPQn1PPP/R3K2R
3904,3904,rn1q1r1k/pbp3pB/1p1bpp2/3p4/3P3B/2P1P3/PPQN1PPP/R3K2R
4184,4184,rn1q1r1k/pbp4B/1p1bpp2/3p2p1/3P3B/2P1P3/PPQN1PPP/R3K2R
4400,4400,rn1q1r1k/pbp4B/1p1bpp2/3p2p1/3P4/2P1P1B1/PPQN1PPP/R3K2R
4460,4460,rn1q1r1k/pbp4B/1p1bp3/3p1pp1/3P4/2P1P1B1/PPQN1PPP/R3K2R
4768,4768,rn1q1r1k/pbp4B/1p1Bp3/3p1pp1/3P4/2P1P3/PPQN1PPP/R3K2R
5196,5196,rn3r1k/pbp4B/1p1qp3/3p1pp1/3P4/2P1P3/PPQN1PPP/R3K2R
5236,5236,rn3r1k/pbp5/1p1qp1B1/3p1pp1/3P4/2P1P3/PPQN1PPP/R3K2R
5300,5300,rn3r2/pbp3k1/1p1qp1B1/3p1pp1/3P4/2P1P3/PPQN1PPP/R3K2R
5360,5360,rn3r2/pbp3k1/1p1qp3/3p1ppB/3P4/2P1P3/PPQN1PPP/R3K2R
5384,5384,rn5r/pbp3k1/1p1qp3/3p1ppB/3P4/2P1P3/PPQN1PPP/R3K2R
6112,6112,rn5r/pbp3k1/1p1qp3/3p1pp1/3P4/2P1P3/PPQNBPPP/R3K2R
6224,6224,rn6/pbp3k1/1p1qp3/3p1pp1/3P4/2P1P3/PPQNBPPr/R3K2R
6500,6500,rn6/pbp3k1/1p1qp3/3p1pp1/3P4/2P1P3/PPQNBPPr/2KR3R
6760,6760,r7/pbpn2k1/1p1qp3/3p1pp1/3P4/2P1P3/PPQNBPPr/2KR3R
8000,8000,r7/pbpn2k1/1p1qp3/3p1pp1/3P4/2P1PN2/PPQ1BPPr/2KR3R
8048,8048,r7/pbpn2k1/1p1qp3/3p1pp1/3P4/2P1PN2/PPQ1BPP1/2KR3r
8088,8088,r7/pbpn2k1/1p1qp3/3p1pp1/3P4/2P1PN2/PPQ1BPP1/2K4R
8644,8644,r7/pbpn2k1/1p1qp3/3p1p2/3P2p1/2P1PN2/PPQ1BPP1/2K4R
9844,9844,r7/pbpn2k1/1p1qp3/3p1pN1/3P2p1/2P1P3/PPQ1BPP1/2K4R
11180,11180,r7/pbp3k1/1p1qpn2/3p1pN1/3P2p1/2P1P3/PPQ1BPP1/2K4R
11688,11688,r7/pbp3k1/1p1qpn2/3p1pN1/3P1Pp1/2P1P3/PPQ1B1P1/2K4R
16936,16936,r7/p1p3k1/1pbqpn2/3p1pN1/3P1Pp1/2P1P3/PPQ1B1P1/2K4R
17664,17664,r7/p1p3k1/1pbqpn2/3p1pN1/3P1Pp1/2PBP3/PPQ3P1/2K4R
19768,19768,r7/p1pq2k1/1pb1pn2/3p1pN1/3P1Pp1/2PBP3/PPQ3P1/2K4R
20160,20160,r7/p1pq2k1/1pb1pn2/3p1pN1/3P1Pp1/2PBP1P1/PPQ5/2K4R
20508,20508,7r/p1pq2k1/1pb1pn2/3p1pN1/3P1Pp1/2PBP1P1/PPQ5/2K4R
20524,20524,7R/p1pq2k1/1pb1pn2/3p1pN1/3P1Pp1/2PBP1P1/PPQ5/2K5
20536,20536,7k/p1pq4/1pb1pn2/3p1pN1/3P1Pp1/2PBP1P1/PPQ5/2K5
20564,20564,7k/p1pq4/1pb1pn2/3p1pN1/3P1Pp1/2PBP1P1/PP5Q/2K5
20708,20708,8/p1pq2k1/1pb1pn2/3p1pN1/3P1Pp1/2PBP1P1/PP5Q/2K5
21964,21964,8/p1pq2k1/1pb1pn2/3p1pN1/3P1Pp1/1PPBP1P1/P6Q/2K5
22164,22164,4q3/p1p3k1/1pb1pn2/3p1pN1/3P1Pp1/1PPBP1P1/P6Q/2K5
22566,22566,4q3/p1p3k1/1pb1pn2/3p1pN1/3P1Pp1/1PPBP1P1/PK5Q/8
22716,22716,4q3/p1pb2k1/1p2pn2/3p1pN1/3P1Pp1/1PPBP1P1/PK5Q/8
23292,23292,4q3/p1pb2k1/1p2pn2/3p1pN1/3P1Pp1/1PPBP1P1/PK2Q3/8
23748,23748,4q3/2pb2k1/1p2pn2/p2p1pN1/3P1Pp1/1PPBP1P1/PK2Q3/8
24012,24012,4q3/2pb2k1/1p2pn2/p2p1pN1/P2P1Pp1/1PPBP1P1/1K2Q3/8
24520,24520,4q3/2pb2k1/1p2p3/p2p1pNn/P2P1Pp1/1PPBP1P1/1K2Q3/8
24952,24952,4q3/2pb2k1/1p2p3/p2p1pNn/P2P1Pp1/1PPBP1P1/1K5Q/8
25332,25332,4q3/3b2k1/1pp1p3/p2p1pNn/P2P1Pp1/1PPBP1P1/1K5Q/8
27248,27248,4q3/3b2k1/1pp1p3/p2p1pNn/P2P1PpQ/1PPBP1P1/1K6/8
27448,27448,4q3/3b2k1/1pp1pn2/p2p1pN1/P2P1PpQ/1PPBP1P1/1K6/8
28008,28008,4q3/3b2k1/1pp1pn2/p2p1pN1/P2P1Pp1/1PPBP1P1/1K5Q/8
28320,28320,7q/3b2k1/1pp1pn2/p2p1pN1/P2P1Pp1/1PPBP1P1/1K5Q/8
28904,28904,7q/3b2k1/1pp1pn2/p2p1pN1/P2P1Pp1/1PPBP1P1/1K4Q1/8
29012,29012,7q/3b2k1/2p1pn2/pp1p1pN1/P2P1Pp1/1PPBP1P1/1K4Q1/8
29716,29716,7q/3b2k1/2p1pn2/pP1p1pN1/3P1Pp1/1PPBP1P1/1K4Q1/8
29736,29736,7q/3b2k1/4pn2/pp1p1pN1/3P1Pp1/1PPBP1P1/1K4Q1/8
30460,30460,7q/3b2k1/4pn2/pp1p1pN1/3P1Pp1/1PPBP1P1/1K2Q3/8
30504,30504,7q/3b2k1/4pn2/p2p1pN1/1p1P1Pp1/1PPBP1P1/1K2Q3/8
30592,30592,7q/3b2k1/4pn2/p2p1pN1/1pPP1Pp1/1P1BP1P1/1K2Q3/8
31224,31224,q7/3b2k1/4pn2/p2p1pN1/1pPP1Pp1/1P1BP1P1/1K2Q3/8
31764,31764,q7/3b2k1/4pn2/p2p1pN1/1pPP1Pp1/1P1BP1P1/1K6/5Q2
31776,31776,q7/3b2k1/4pn2/3p1pN1/ppPP1Pp1/1P1BP1P1/1K6/5Q2
31792,31792,q7/3b2k1/4pn2/3p1pN1/ppPP1Pp1/1P1BP1P1/1K6/Q7
31880,31880,q7/3b2k1/4pn2/5pN1/pppP1Pp1/1P1BP1P1/1K6/Q7
