from_frame,to_frame,fen
200,200,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR
588,588,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR
620,620,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR
840,840,rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR
856,856,rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/8/PP2PPPP/RNBQKBNR
872,872,rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR
896,896,rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR
936,936,rnbqkb1r/ppp2ppp/4pn2/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR
1024,1024,rnbqk2r/ppp1bppp/4pn2/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR
1040,1040,rnbqk2r/ppp1bppp/4pn2/3p2B1/2PP4/2N1P3/PP3PPP/R2QKBNR
1124,1124,rnbq1rk1/ppp1bppp/4pn2/3p2B1/2PP4/2N1P3/PP3PPP/R2QKBNR
1152,1152,rnbq1rk1/ppp1bppp/4pn2/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R
1172,1172,rnbq1rk1/ppp1bpp1/4pn1p/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R
1188,1188,rnbq1rk1/ppp1bpp1/4pn1p/3p4/2PP3B/2N1PN2/PP3PPP/R2QKB1R
1216,1216,rnbq1rk1/ppp1bpp1/4p2p/3p4/2PPn2B/2N1PN2/PP3PPP/R2QKB1R
1280,1280,rnbq1rk1/ppp1Bpp1/4p2p/3p4/2PPn3/2N1PN2/PP3PPP/R2QKB1R
1300,1300,rnb2rk1/ppp1qpp1/4p2p/3p4/2PPn3/2N1PN2/PP3PPP/R2QKB1R
1740,1740,rnb2rk1/ppp1qpp1/4p2p/3p4/2PPn3/2N1PN2/PPQ2PPP/R3KB1R
1916,1916,rnb2rk1/ppp1qpp1/4p2p/3p4/2PP4/2n1PN2/PPQ2PPP/R3KB1R
2000,2000,rnb2rk1/ppp1qpp1/4p2p/3p4/2PP4/2Q1PN2/PP3PPP/R3KB1R
3100,3100,rnb2rk1/ppp1qpp1/4p2p/8/2pP4/2Q1PN2/PP3PPP/R3KB1R
3308,3308,rnb2rk1/ppp1qpp1/4p2p/8/2BP4/2Q1PN2/PP3PPP/R3K2R
3328,3328,r1b2rk1/pppnqpp1/4p2p/8/2BP4/2Q1PN2/PP3PPP/R3K2R
3416,3416,r1b2rk1/pppnqpp1/4p2p/8/2BP4/2Q1PN2/PP3PPP/R4RK1
4264,4264,r1b2rk1/ppp1qpp1/1n2p2p/8/2BP4/2Q1PN2/PP3PPP/R4RK1
5044,5044,r1b2rk1/ppp1qpp1/1n2p2p/8/2BP4/2Q1PN2/PP3PPP/2R2RK1
6092,6092,r1b2rk1/pp2qpp1/1np1p2p/8/2BP4/2Q1PN2/PP3PPP/2R2RK1
6368,6368,r1b2rk1/pp2qpp1/1np1p2p/8/3P4/1BQ1PN2/PP3PPP/2R2RK1
6532,6532,r4rk1/pp1bqpp1/1np1p2p/8/3P4/1BQ1PN2/PP3PPP/2R2RK1
6568,6568,r4rk1/pp1bqpp1/1np1p2p/4N3/3P4/1BQ1P3/PP3PPP/2R2RK1
7000,7000,2r2rk1/pp1bqpp1/1np1p2p/4N3/3P4/1BQ1P3/PP3PPP/2R2RK1
7728,7728,2r2rk1/pp1bqpp1/1np1p2p/Q3N3/3P4/1B2P3/PP3PPP/2R2RK1
8952,8952,r4rk1/pp1bqpp1/1np1p2p/Q3N3/3P4/1B2P3/PP3PPP/2R2RK1
8988,8988,r4rk1/pp1bqpp1/1np1p2p/2Q1N3/3P4/1B2P3/PP3PPP/2R2RK1
9384,9384,r3r1k1/pp1bqpp1/1np1p2p/2Q1N3/3P4/1B2P3/PP3PPP/2R2RK1
9884,9884,r3r1k1/pp1bqpp1/1np1p2p/2Q1N3/P2P4/1B2P3/1P3PPP/2R2RK1
10096,10096,r3r1k1/pp1bqpp1/2p1p2p/2QnN3/P2P4/1B2P3/1P3PPP/2R2RK1
11140,11140,r3r1k1/pp1bqpp1/2p1p2p/2QBN3/P2P4/4P3/1P3PPP/2R2RK1
11456,11456,r3r1k1/pp1bqpp1/2p4p/2QpN3/P2P4/4P3/1P3PPP/2R2RK1
11696,11696,r3r1k1/pp1bQpp1/2p4p/3pN3/P2P4/4P3/1P3PPP/2R2RK1
11712,11712,r5k1/pp1brpp1/2p4p/3pN3/P2P4/4P3/1P3PPP/2R2RK1
11740,11740,r5k1/pp1Nrpp1/2p4p/3p4/P2P4/4P3/1P3PPP/2R2RK1
11760,11760,r5k1/pp1r1pp1/2p4p/3p4/P2P4/4P3/1P3PPP/2R2RK1
12092,12092,r5k1/pp1r1pp1/2p4p/3p4/PP1P4/4P3/5PPP/2R2RK1
12864,12864,2r3k1/pp1r1pp1/2p4p/3p4/PP1P4/4P3/5PPP/2R2RK1
13328,13328,2r3k1/pp1r1pp1/2p4p/3p4/PP1P4/4P3/2R2PPP/5RK1
13616,13616,2r3k1/ppr2pp1/2p4p/3p4/PP1P4/4P3/2R2PPP/5RK1
13636,13636,2r3k1/ppr2pp1/2p4p/3p4/PP1P4/4P3/2R2PPP/2R3K1
13896,13896,2r2k2/ppr2pp1/2p4p/3p4/PP1P4/4P3/2R2PPP/2R3K1
14132,14132,2r2k2/ppr2pp1/2p4p/3p4/PP1P4/4P3/2R2PPP/2R2K2
14180,14180,2r5/ppr1kpp1/2p4p/3p4/PP1P4/4P3/2R2PPP/2R2K2
14208,14208,2r5/ppr1kpp1/2p4p/3p4/PP1P4/4P3/2R1KPPP/2R5
14256,14256,2r5/ppr2pp1/2pk3p/3p4/PP1P4/4P3/2R1KPPP/2R5
14348,14348,2r5/ppr2pp1/2pk3p/3p4/PP1P4/3KP3/2R2PPP/2R5
14904,14904,2r5/p1r2pp1/1ppk3p/3p4/PP1P4/3KP3/2R2PPP/2R5
16592,16592,2r5/p1r2pp1/1ppk3p/3p4/PP1P2P1/3KP3/2R2P1P/2R5
18764,18764,2r5/p1r2pp1/1p1k3p/2pp4/PP1P2P1/3KP3/2R2P1P/2R5
19352,19352,2r5/p1r2pp1/1p1k3p/2Pp4/PP4P1/3KP3/2R2P1P/2R5
19384,19384,2r5/p1r2pp1/3k3p/2pp4/PP4P1/3KP3/2R2P1P/2R5
19936,19936,2r5/p1r2pp1/3k3p/2Rp4/PP4P1/3KP3/5P1P/2R5
19976,19976,2r5/p4pp1/3k3p/2rp4/PP4P1/3KP3/5P1P/2R5
19988,19988,2r5/p4pp1/3k3p/2Rp4/PP4P1/3KP3/5P1P/8
20008,20008,8/p4pp1/3k3p/2rp4/PP4P1/3KP3/5P1P/8
20024,20024,8/p4pp1/3k3p/2Pp4/P5P1/3KP3/5P1P/8
20048,20048,8/p4pp1/7p/2kp4/P5P1/3KP3/5P1P/8
20064,20064,8/p4pp1/7p/2kp4/P5P1/2K1P3/5P1P/8
21900,21900,8/p4p2/7p/2kp2p1/P5P1/2K1P3/5P1P/8
23676,23676,8/p4p2/7p/2kp2p1/P4PP1/2K1P3/7P/8
26928,26928,8/5p2/p6p/2kp2p1/P4PP1/2K1P3/7P/8
30604,30604,8/5p2/p6p/2kp1Pp1/P5P1/2K1P3/7P/8
30388,30388,8/8/p4p1p/2kp1Pp1/P5P1/2K1P3/7P/8
31032,31032,8/8/p4p1p/P1kp1Pp1/6P1/2K1P3/7P/8
31120,31120,8/8/p4p1p/Pk1p1Pp1/6P1/2K1P3/7P/8
31140,31140,8/8/p4p1p/Pk1p1Pp1/3K2P1/4P3/7P/8
31332,31332,8/8/p4p1p/k2p1Pp1/3K2P1/4P3/7P/8
31664,31664,8/8/p4p1p/k2K1Pp1/6P1/4P3/7P/8
31800,31800,8/8/pk3p1p/3K1Pp1/6P1/4P3/7P/8
